"Localitate","Judet","Agentie","KM"
"Stana (Huedin)","Salaj","Huedin",""
"Stana(Jibou)","Salaj","Jibou",""
"Starciu","Salaj","Simleu Silvaniei","20"
"Stoboru","Salaj","Huedin","30"
"Stupini","Salaj","Jibou","34"
"Sub Cetate","Salaj","Simleu Silvaniei","24"
"Sumal","Salaj","Simleu Silvaniei","30"
"Surduc","Salaj","Jibou",""
"Sutoru","Salaj","Jibou","36"
"Tamasa","Salaj","Huedin","22"
"Tarmure","Salaj","Simleu Silvaniei","22"
"Taudu","Salaj","Huedin","24"
"Testioara","Salaj","Jibou",""
"Tetisu","Salaj","Huedin",""
"Tihau","Salaj","Jibou",""
"Toplita","Salaj","Jibou","20"
"Tranis","Salaj","Jibou",""
"Trestia","Salaj","Jibou","23"
"Treznea","Salaj","Jibou",""
"Turbuta","Salaj","Jibou",""
"Tusa","Salaj","Simleu Silvaniei","32"
"Ugrutiu","Salaj","Jibou","30"
"Uileacu Simleului","Salaj","Simleu Silvaniei",""
"Ulciug","Salaj","Jibou","30"
"Vadurele","Salaj","Jibou",""
"Valcau de Jos","Salaj","Simleu Silvaniei","21"
"Valcau de Sus","Salaj","Simleu Silvaniei","22"
"Valea Ciurenilor","Salaj","Dej","25"
"Valea Hranei","Salaj","Dej","47"
"Valea Lesului","Salaj","Jibou","27"
"Valea Loznei","Salaj","Jibou","33"
"Valea Lunga","Salaj","Dej","45"
"Valea Pomilor","Salaj","Simleu Silvaniei","24"
"Valeni","Salaj","Jibou","20"
"Valisoara","Salaj","Jibou","32"
"Var","Salaj","Jibou",""
"Varsolt","Salaj","Simleu Silvaniei",""
"Vartesca","Salaj","Dej","40"
"Verveghiu","Salaj","Jibou","21"
"Viile Jacului","Salaj","Jibou",""
"Voivodeni","Salaj","Jibou","36"
"Zalau","Salaj","Zalau",""
"Zalha","Salaj","Dej","47"
"Zalnoc","Salaj","Simleu Silvaniei","31"
"Zauan","Salaj","Simleu Silvaniei",""
"Zauan-Bai","Salaj","Simleu Silvaniei",""
"Zimbor","Salaj","Jibou","35"
"Acas","Satu Mare","Satu Mare","40"
"Aciua","Satu Mare","Satu Mare",""
"Adrian","Satu Mare","Satu Mare","29"
"Ady Endre","Satu Mare","Carei","21"
"Agris","Satu Mare","Satu Mare",""
"Aliceni","Satu Mare","Satu Mare","57"
"Aliza","Satu Mare","Satu Mare",""
"Amati","Satu Mare","Satu Mare",""
"Ambud","Satu Mare","Satu Mare",""
"Andrid","Satu Mare","Carei","25"
"Apa","Satu Mare","Satu Mare","27"
"Apateu","Satu Mare","Satu Mare",""
"Ardud","Satu Mare","Satu Mare",""
"Ardud-Vii","Satu Mare","Satu Mare","22"
"Atea","Satu Mare","Satu Mare",""
"Baba Novac","Satu Mare","Satu Mare","26"
"Babasesti","Satu Mare","Satu Mare","20"
"Babesti","Satu Mare","Satu Mare","34"
"Babta","Satu Mare","Satu Mare","61"
"Barsau","Satu Mare","Satu Mare","56"
"Barsau de Jos","Satu Mare","Satu Mare","51"
"Barsau de Sus","Satu Mare","Satu Mare","55"
"Batarci","Satu Mare","Satu Mare","50"
"Becheni","Satu Mare","Carei","38"
"Beltiug","Satu Mare","Satu Mare","30"
"Bercu","Satu Mare","Satu Mare",""
"Bercu Nou","Satu Mare","Satu Mare",""
"Berea","Satu Mare","Carei",""
"Berindan","Satu Mare","Satu Mare",""
"Berveni","Satu Mare","Carei",""
"Bicau","Satu Mare","Satu Mare","42"
"Bixad","Satu Mare","Satu Mare","57"
"Blaja","Satu Mare","Carei","29"
"Bocicau","Satu Mare","Satu Mare","55"
"Bogdand","Satu Mare","Satu Mare","61"
"Boghis","Satu Mare","Satu Mare","20"
"Boinesti","Satu Mare","Satu Mare","50"
"Bolda","Satu Mare","Satu Mare","38"
"Borlesti","Satu Mare","Satu Mare","43"
"Botiz","Satu Mare","Satu Mare",""
"Calinesti-Oas","Satu Mare","Satu Mare","43"
"Camarzana","Satu Mare","Satu Mare","60"
"Camin","Satu Mare","Carei",""
"Capleni","Satu Mare","Carei",""
"Caraseu","Satu Mare","Satu Mare","22"
"Carei","Satu Mare","Carei",""
"Cauas","Satu Mare","Carei",""
"Cean","Satu Mare","Carei","32"
"Cehal","Satu Mare","Carei","39"
"Cehalut","Satu Mare","Carei","34"
"Certeze","Satu Mare","Satu Mare","57"
"Chegea","Satu Mare","Carei","37"
"Chereusa","Satu Mare","Carei","34"
"Chilia","Satu Mare","Satu Mare","32"
"Chisau","Satu Mare","Carei",""
"Cidreag","Satu Mare","Satu Mare","40"
"Cig","Satu Mare","Carei","33"
"Cionchesti","Satu Mare","Satu Mare",""
"Ciumesti","Satu Mare","Carei",""
"Ciuperceni","Satu Mare","Satu Mare",""
"Coca","Satu Mare","Satu Mare","39"
"Comlausa","Satu Mare","Satu Mare","50"
"Corod","Satu Mare","Satu Mare",""
"Corund","Satu Mare","Satu Mare","56"
"Craidorolt","Satu Mare","Carei","30"
"Criseni","Satu Mare","Carei","22"
"Crucisor","Satu Mare","Satu Mare","43"
"Cucu","Satu Mare","Satu Mare",""
"Culciu","Satu Mare","Satu Mare",""
"Culciu Mare","Satu Mare","Satu Mare",""
"Culciu Mic","Satu Mare","Satu Mare",""
"Cuta","Satu Mare","Satu Mare","41"
"Dacia","Satu Mare","Satu Mare","23"
"Dara","Satu Mare","Satu Mare",""
"Decebal","Satu Mare","Satu Mare",""
"Dindesti","Satu Mare","Carei","21"
"Dindestiu Mic","Satu Mare","Carei",""
"Doba","Satu Mare","Satu Mare",""
"Dobolt","Satu Mare","Satu Mare","36"
"Dobra","Satu Mare","Satu Mare","45"
"Domanesti","Satu Mare","Carei",""
"Dorolt","Satu Mare","Satu Mare",""
"Draguseni","Satu Mare","Satu Mare","24"
"Dumbrava","Satu Mare","Satu Mare","25"
"Eriu-Sancrai","Satu Mare","Carei","26"
"Eteni","Satu Mare","Satu Mare",""
"Foieni","Satu Mare","Carei",""
"Ganas","Satu Mare","Satu Mare",""
"Gelu","Satu Mare","Satu Mare","22"
"Gerausa","Satu Mare","Satu Mare","27"
"Ghenci","Satu Mare","Carei",""
"Gherta Mare","Satu Mare","Satu Mare","43"
"Gherta Mica","Satu Mare","Satu Mare","43"
"Ghilesti","Satu Mare","Carei",""
"Ghilvaci","Satu Mare","Carei",""
"Ghirisa","Satu Mare","Satu Mare","31"
"Ghirolt","Satu Mare","Carei",""
"Giorocuta","Satu Mare","Satu Mare","54"
"Giungi","Satu Mare","Satu Mare","34"
"Giurtelecu Hododului","Satu Mare","Satu Mare","77"
"Halmeu","Satu Mare","Satu Mare","35"
"Halmeu-Vii","Satu Mare","Satu Mare","43"
"Hodisa","Satu Mare","Satu Mare","39"
"Hodod","Satu Mare","Satu Mare","68"
"HOMOROADE","Satu Mare","Satu Mare","31"
"Homorodu de Jos","Satu Mare","Satu Mare","27"
"Homorodu de Mijloc","Satu Mare","Satu Mare","32"
"Homorodu de Sus","Satu Mare","Satu Mare","33"
"Horea","Satu Mare","Carei","25"
"Hotoan","Satu Mare","Carei","20"
"Hrip","Satu Mare","Satu Mare",""
"Hurezu Mare","Satu Mare","Satu Mare","52"
"Huta-Certeze","Satu Mare","Satu Mare","60"
"Ianculesti","Satu Mare","Carei",""
"Iegheriste","Satu Mare","Satu Mare","44"
"Iojib","Satu Mare","Satu Mare","28"
"Irina","Satu Mare","Carei",""
"Istrau","Satu Mare","Carei","26"
"Lazuri","Satu Mare","Satu Mare",""
"Lechinta","Satu Mare","Satu Mare","45"
"Lelei","Satu Mare","Satu Mare","75"
"Lipau","Satu Mare","Satu Mare","25"
"Livada","Satu Mare","Satu Mare","25"
"Livada Mica","Satu Mare","Satu Mare","28"
"Lucaceni","Satu Mare","Carei",""
"Luna","Satu Mare","Satu Mare","50"
"Lunca Apei","Satu Mare","Satu Mare","31"
"Madaras","Satu Mare","Satu Mare",""
"Marius","Satu Mare","Satu Mare","36"
"Marna Noua","Satu Mare","Carei",""
"Martinesti","Satu Mare","Satu Mare",""
"Medies-Raturi","Satu Mare","Satu Mare","29"
"Mediesu Aurit","Satu Mare","Satu Mare","24"
"Medies-Vii","Satu Mare","Satu Mare","35"
"Medisa","Satu Mare","Satu Mare","28"
"Mesteacan","Satu Mare","Satu Mare","38"
"Micula","Satu Mare","Satu Mare",""
"Micula Noua","Satu Mare","Satu Mare",""
"Mihaieni","Satu Mare","Satu Mare","41"
"Moftin","Satu Mare","Carei",""
"Moftinu Mare","Satu Mare","Carei",""
"Moftinu Mic","Satu Mare","Carei",""
"Moiseni","Satu Mare","Satu Mare","60"
"Nadisu Hododului","Satu Mare","Satu Mare","66"
"Necopoi","Satu Mare","Satu Mare","20"
"Negresti-Oas","Satu Mare","Satu Mare","50"
"Nisipeni","Satu Mare","Satu Mare",""
"Noroieni","Satu Mare","Satu Mare",""
"Oar","Satu Mare","Satu Mare",""
"Odoreu","Satu Mare","Satu Mare",""
"Orasu Nou","Satu Mare","Satu Mare","40"
"Orasu Nou-Vii","Satu Mare","Satu Mare","36"
"Orbau","Satu Mare","Carei","39"
"Pasunea Mare","Satu Mare","Satu Mare","35"
"Paulesti","Satu Mare","Satu Mare",""
"Paulian","Satu Mare","Satu Mare",""
"Peles","Satu Mare","Satu Mare",""
"Pelisor","Satu Mare","Satu Mare",""
"Petea","Satu Mare","Satu Mare",""
"Petin","Satu Mare","Satu Mare",""
"Petresti","Satu Mare","Carei",""
"Pir","Satu Mare","Carei","35"
"Piru Nou","Satu Mare","Carei","31"
"Piscari","Satu Mare","Carei","26"
"Piscolt","Satu Mare","Carei",""
"Poiana Codrului","Satu Mare","Satu Mare","48"
"Pomi","Satu Mare","Satu Mare","40"
"Portita","Satu Mare","Carei",""
"Porumbesti","Satu Mare","Satu Mare","38"
"Potau","Satu Mare","Satu Mare","24"
"Prilog","Satu Mare","Satu Mare","44"
"Prilog-Vii","Satu Mare","Satu Mare","44"
"Racova","Satu Mare","Satu Mare","56"
"Racsa","Satu Mare","Satu Mare","44"
"Racsa-Vii","Satu Mare","Satu Mare","41"
"Radulesti","Satu Mare","Carei",""
"Ratesti","Satu Mare","Satu Mare","29"
"Ratiu","Satu Mare","Carei",""
"Remetea Oasului","Satu Mare","Satu Mare","45"
"Resighea","Satu Mare","Carei","21"
"Romanesti","Satu Mare","Satu Mare","25"
"Rosiori","Satu Mare","Satu Mare","35"
"Ruseni","Satu Mare","Satu Mare",""
"Sacaseni","Satu Mare","Carei","34"
"Sai","Satu Mare","Satu Mare","30"
"Sandra","Satu Mare","Satu Mare","33"
"Sanislau","Satu Mare","Carei",""
"Sanmiclaus","Satu Mare","Carei",""
"Santau","Satu Mare","Carei","31"
"Saratura","Satu Mare","Satu Mare","28"
"Sarauad","Satu Mare","Carei","30"
"Sarvazel","Satu Mare","Carei","38"
"Satmarel","Satu Mare","Satu Mare",""
"Satu Mare","Satu Mare","Satu Mare",""
"Satu Mic","Satu Mare","Carei","29"
"Sauca","Satu Mare","Carei","33"
"Scarisoara Noua","Satu Mare","Carei","26"
"Secheresa","Satu Mare","Satu Mare","52"
"Ser","Satu Mare","Satu Mare","67"
"Silvas","Satu Mare","Carei","31"
"Sirlau","Satu Mare","Satu Mare","51"
"Socond","Satu Mare","Satu Mare","35"
"Soconzel","Satu Mare","Satu Mare","42"
"Solduba","Satu Mare","Satu Mare","36"
"Someseni","Satu Mare","Satu Mare","30"
"Stana","Satu Mare","Satu Mare","40"
"Sudurau","Satu Mare","Carei","35"
"Supur","Satu Mare","Satu Mare","47"
"Supuru de jos","Satu Mare","Satu Mare","47"
"Supuru de Sus","Satu Mare","Satu Mare","50"
"Tamaseni","Satu Mare","Satu Mare","44"
"Tarna Mare","Satu Mare","Satu Mare","56"
"Tarsolt","Satu Mare","Satu Mare","57"
"Tasnad","Satu Mare","Carei","26"
"Tataresti","Satu Mare","Satu Mare","20"
"Teghea","Satu Mare","Carei","36"
"Terebesti","Satu Mare","Satu Mare","26"
"Tireac","Satu Mare","Satu Mare","23"
"Tiream","Satu Mare","Carei",""
"Traian","Satu Mare","Satu Mare",""
"Trip","Satu Mare","Satu Mare","52"
"Tur","Satu Mare","Satu Mare","53"
"Turt","Satu Mare","Satu Mare","44"
"Turt-Bai","Satu Mare","Satu Mare","50"
"TuruLung","Satu Mare","Satu Mare","29"
"Turulung-Vii","Satu Mare","Satu Mare","34"
"Unimat","Satu Mare","Satu Mare","44"
"Urziceni","Satu Mare","Carei",""
"Urziceni-Padure","Satu Mare","Carei",""
"Vagas","Satu Mare","Satu Mare",""
"Valea Morii","Satu Mare","Carei",""
"Valea Seaca","Satu Mare","Satu Mare","53"
"Valea Vinului","Satu Mare","Satu Mare","30"
"Vama","Satu Mare","Satu Mare","45"
"Vanatoresti","Satu Mare","Satu Mare",""
"Vetis","Satu Mare","Satu Mare",""
"Vezendiu","Satu Mare","Carei",""
"Viile Satu Mare","Satu Mare","Satu Mare","20"
"Viisoara","Satu Mare","Carei",""
"Aciliu","Sibiu","Sibiu","24"
"Agarbiciu","Sibiu","Medias",""
"Agnita","Sibiu","Medias","39"
"Alamor","Sibiu","Sibiu","30"
"Albi","Sibiu","Sibiu","28"
"Alma","Sibiu","Medias",""
"Alma Vii","Sibiu","Medias",""
"ALTINA","Sibiu","Medias","44"
"Amnas","Sibiu","Sibiu","29"
"Apoldu de Jos","Sibiu","Sibiu","35"
"Apoldu de Sus","Sibiu","Sibiu","28"
"Apos","Sibiu","Medias","34"
"Armeni","Sibiu","Sibiu","39"
"Arpasu de Jos","Sibiu","Fagaras","29"
"Arpasu de Sus","Sibiu","Fagaras","34"
"Atel","Sibiu","Medias",""
"Avrig","Sibiu","Talmaciu",""
"Axente Sever","Sibiu","Medias",""
"Balea Lac","Sibiu","Fagaras","68"
"Barghis","Sibiu","Medias","30"
"Bazna","Sibiu","Medias",""
"Benesti","Sibiu","Medias","41"
"Biertan","Sibiu","Medias","27"
"Blajel","Sibiu","Medias",""
"Boarta","Sibiu","Medias","27"
"Bogatu Roman","Sibiu","Sibiu","43"
"Boian","Sibiu","Medias","21"
"Boita","Sibiu","Talmaciu",""
"Bradeni","Sibiu","Medias","60"
"Bradu","Sibiu","Talmaciu",""
"Brateiu","Sibiu","Medias",""
"Brosteni","Sibiu","Sibiu","49"
"Bruiu","Sibiu","Fagaras","36"
"Buia","Sibiu","Medias","35"
"Bungard","Sibiu","Talmaciu",""
"Buzd","Sibiu","Medias",""
"Carta","Sibiu","Fagaras","35"
"Cartisoara","Sibiu","Fagaras","37"
"Casolt","Sibiu","Sibiu",""
"Chesler","Sibiu","Medias","39"
"Chirpar","Sibiu","Medias","51"
"Cisnadie","Sibiu","Talmaciu",""
"Cisnadioara","Sibiu","Talmaciu",""
"Colonia Talmaciu","Sibiu","Talmaciu",""
"Colonia Tarnava","Sibiu","Medias",""
"Colun","Sibiu","Talmaciu","32"
"Copsa Mare","Sibiu","Medias","30"
"Copsa Mica","Sibiu","Medias",""
"Cornatel","Sibiu","Sibiu","21"
"Coves","Sibiu","Medias","37"
"Crint","Sibiu","Sibiu","31"
"Cristian","Sibiu","Sibiu",""
"Curciu","Sibiu","Medias",""
"Daia","Sibiu","Sibiu",""
"Darlos","Sibiu","Medias",""
"DEALU FRUMOS","Sibiu","Medias","45"
"Dobarca","Sibiu","Sibiu","34"
"Dumbraveni","Sibiu","Medias","20"
"Dupus","Sibiu","Medias",""
"Ernea","Sibiu","Medias","21"
"Fantanele","Sibiu","Sibiu",""
"Floresti","Sibiu","Sighisoara",""
"Fofeldea","Sibiu","Sibiu","30"
"Gales","Sibiu","Sibiu","21"
"Gherdeal","Sibiu","Fagaras","39"
"Ghijasa de Jos","Sibiu","Medias","55"
"Ghijasa de Sus","Sibiu","Medias","44"
"GIACAS","Sibiu","Medias",""
"Glamboaca","Sibiu","Talmaciu","26"
"Gura Raului","Sibiu","Sibiu",""
"Gusu","Sibiu","Sibiu","45"
"Hamba","Sibiu","Sibiu","21"
"Hasag","Sibiu","Sibiu","31"
"Hoghilag","Sibiu","Medias","26"
"Hosman","Sibiu","Sibiu","42"
"Iacobeni","Sibiu","Medias","51"
"Ighisu Nou","Sibiu","Medias",""
"Ighisu Vechi","Sibiu","Medias","35"
"Ilimbav","Sibiu","Sibiu","38"
"Jina","Sibiu","Sibiu","43"
"Laslea","Sibiu","Sighisoara",""
"Lazaret","Sibiu","Talmaciu",""
"Loamnes","Sibiu","Sibiu","25"
"Lotrioara","Sibiu","Talmaciu",""
"Ludos","Sibiu","Sibiu","43"
"Mag","Sibiu","Sibiu",""
"Malancrav","Sibiu","Sighisoara","25"
"Mandra","Sibiu","Sibiu","23"
"Marpod","Sibiu","Sibiu","47"
"Marsa","Sibiu","Talmaciu",""
"Medias","Sibiu","Medias",""
"MERGHINDEAL","Sibiu","Medias","49"
"Metis","Sibiu","Medias","47"
"Micasasa","Sibiu","Medias","29"
"Miercurea Sibiului","Sibiu","Sibiu","33"
"Mighindoala","Sibiu","Medias","38"
"Mihaileni","Sibiu","Medias","41"
"Moardas","Sibiu","Medias","44"
"Mohu","Sibiu","Talmaciu",""
"Mosna","Sibiu","Medias",""
"Motis","Sibiu","Medias","20"
"Movile","Sibiu","Medias","60"
"Nemsa","Sibiu","Medias",""
"Netus","Sibiu","Medias","55"
"Nocrich","Sibiu","Medias","48"
"Noistat","Sibiu","Medias","57"
"Nou","Sibiu","Sibiu",""
"Nou Roman","Sibiu","Fagaras","35"
"NOU SASESC","Sibiu","Sighisoara","26"
"Nucet","Sibiu","Sibiu","22"
"Ocna Sibiului","Sibiu","Sibiu",""
"Orlat","Sibiu","Sibiu",""
"Padureni","Sibiu","Sibiu","23"
"Paltin","Sibiu","Talmaciu",""
"Paltinis","Sibiu","Sibiu","35"
"Pauca","Sibiu","Sibiu","47"
"Paucea","Sibiu","Medias",""
"Pelisor","Sibiu","Medias","22"
"Petis","Sibiu","Medias","33"
"Poiana Sibiului","Sibiu","Sibiu","43"
"Poienita","Sibiu","Fagaras","38"
"Poplaca","Sibiu","Sibiu",""
"Porumbacu de Jos","Sibiu","Talmaciu","23"
"Porumbacu de Sus","Sibiu","Talmaciu","27"
"Presaca","Sibiu","Sibiu","44"
"Prislop","Sibiu","Sibiu",""
"Prod","Sibiu","Sighisoara",""
"Racovita","Sibiu","Talmaciu",""
"Rasinari","Sibiu","Sibiu",""
"Rau Sadului","Sibiu","Talmaciu","22"
"Ravasel","Sibiu","Medias","35"
"Retis","Sibiu","Medias","65"
"Richis","Sibiu","Medias","23"
"Roandola","Sibiu","Sighisoara","20"
"Rod","Sibiu","Sibiu","30"
"Romanesti","Sibiu","Medias",""
"Rosia","Sibiu","Sibiu",""
"Ruja","Sibiu","Medias","46"
"Rusciori","Sibiu","Sibiu",""
"Rusi","Sibiu","Sibiu","24"
"Sacadate","Sibiu","Talmaciu","20"
"Sacel","Sibiu","Sibiu",""
"Sadinca","Sibiu","Sibiu","36"
"Sadu","Sibiu","Talmaciu",""
"Salcau","Sibiu","Medias","41"
"Saliste","Sibiu","Sibiu",""
"Sangatin","Sibiu","Sibiu","40"
"Sarata","Sibiu","Talmaciu","28"
"Saros pe Tarnave","Sibiu","Medias",""
"Sasaus","Sibiu","Fagaras","42"
"Scoreiu","Sibiu","Talmaciu","28"
"Sebesu de Jos","Sibiu","Talmaciu",""
"Sebesu de Sus","Sibiu","Talmaciu",""
"Seica Mare","Sibiu","Medias","24"
"Seica Mica","Sibiu","Medias","25"
"Selimbar","Sibiu","Talmaciu",""
"Sibiel","Sibiu","Sibiu",""
"Sibiu","Sibiu","Sibiu",""
"Slimnic","Sibiu","Sibiu","19"
"Smig","Sibiu","Medias",""
"Soala","Sibiu","Medias","23"
"Somartin","Sibiu","Fagaras","39"
"Sorostin","Sibiu","Medias","32"
"Stejarisu","Sibiu","Medias","49"
"Stenea","Sibiu","Medias","34"
"Sura Mare","Sibiu","Sibiu",""
"Sura Mica","Sibiu","Sibiu",""
"Talmacel","Sibiu","Talmaciu",""
"Talmaciu","Sibiu","Talmaciu",""
"Tapu","Sibiu","Medias","27"
"Tarnava","Sibiu","Medias",""
"Teline","Sibiu","Medias","72"
"Tichindeal","Sibiu","Medias","56"
"Tilisca","Sibiu","Sibiu","23"
"Toparcea","Sibiu","Sibiu","24"
"Turnu Rosu","Sibiu","Talmaciu",""
"Valchid","Sibiu","Medias","29"
"Vale","Sibiu","Sibiu","22"
"Valea Lunga","Sibiu","Medias",""
"Valea Viilor","Sibiu","Medias",""
"Valeni","Sibiu","Medias","34"
"Vard","Sibiu","Medias","42"
"Vecerd","Sibiu","Medias","38"
"Velt","Sibiu","Medias",""
"Veseud (Chirpar)","Sibiu","Medias","49"
"Veseud (Slimnic)","Sibiu","Sibiu","29"
"Vestem","Sibiu","Talmaciu",""
"Vurpar","Sibiu","Sibiu","29"
"Zlagna","Sibiu","Medias","40"
"Adancata","Suceava","Suceava",""
"Antoceni","Suceava","Falticeni","23"
"Arbore","Suceava","Suceava","37"
"Argel","Suceava","Campulung Moldovenesc","35"
"Argestru","Suceava","Vatra Dornei",""
"Arghira","Suceava","Falticeni",""
"Artari","Suceava","Suceava","25"
"Badeuti","Suceava","Radauti",""
"Badragi","Suceava","Radauti","30"
"Bahna Arin","Suceava","Falticeni",""
"Baia","Suceava","Falticeni",""
"Bainet","Suceava","Radauti","20"
"Baisesti","Suceava","Gura Humorului",""
"Balaceana","Suceava","Suceava","25"
"Balcauti","Suceava","Radauti",""
"Balinesti","Suceava","Radauti","15"
"Bancesti","Suceava","Radauti","25"
"Banesti","Suceava","Suceava","25"
"Barasti","Suceava","Falticeni",""
"Basarabi","Suceava","Falticeni",""
"Benia","Suceava","Campulung Moldovenesc","35"
"Berchisesti","Suceava","Gura Humorului",""
"Beresti","Suceava","Suceava","22"
"Bilca","Suceava","Radauti",""
"Bivolaria","Suceava","Radauti","20"
"Bobeica","Suceava","Campulung Moldovenesc","55"
"Bodnareni","Suceava","Suceava","35"
"Bogata","Suceava","Falticeni",""
"Bogdanesti","Suceava","Falticeni",""
"Boroaia","Suceava","Falticeni",""
"Bosanci","Suceava","Suceava",""
"Botesti","Suceava","Suceava","24"
"Botos","Suceava","Vatra Dornei","25"
"Botosana","Suceava","Suceava","30"
"Botosanita Mare","Suceava","Radauti",""
"Botosanita Mica","Suceava","Radauti","25"
"Botus","Suceava","Campulung Moldovenesc","22"
"Botusel","Suceava","Campulung Moldovenesc","24"
"Boura","Suceava","Falticeni","24"
"Bradatel","Suceava","Suceava","27"
"Braiesti","Suceava","Gura Humorului",""
"Branistea","Suceava","Campulung Moldovenesc","25"
"Brasca","Suceava","Suceava","21"
"Breaza","Suceava","Campulung Moldovenesc","30"
"Breaza de Sus","Suceava","Campulung Moldovenesc","34"
"Brodina","Suceava","Radauti","44"
"Brodina (Izvoarele Sucevei)","Suceava","Radauti","65"
"Brodina de Jos","Suceava","Radauti","55"
"Brosteni","Suceava","Vatra Dornei","53"
"Brosteni (Draguseni)","Suceava","Falticeni","32"
"Bucsoaia","Suceava","Gura Humorului",""
"Buda (Rasca)","Suceava","Falticeni","22"
"Buda (Zvoristea)","Suceava","Suceava","27"
"Budeni","Suceava","Falticeni","23"
"Bulai","Suceava","Suceava",""
"Bunesti","Suceava","Falticeni",""
"Burla","Suceava","Radauti",""
"Bursuceni","Suceava","Suceava",""
"Cacica","Suceava","Suceava","41"
"Cajvana","Suceava","Suceava","32"
"Calafindesti","Suceava","Suceava","30"
"Calinesti (Darmanesti)","Suceava","Suceava",""
"Calinesti (serbauti)","Suceava","Suceava",""
"Calinesti-Vasilache","Suceava","Suceava",""
"Calugareni","Suceava","Suceava",""
"Camarzani","Suceava","Falticeni",""
"Campulung Moldovenesc","Suceava","Campulung Moldovenesc",""
"Capu Campului","Suceava","Gura Humorului",""
"Capu Codrului","Suceava","Gura Humorului",""
"Carlibaba","Suceava","Vatra Dornei","39"
"Carlibaba Noua","Suceava","Vatra Dornei","38"
"Casoi","Suceava","Vatra Dornei","22"
"Catrinari","Suceava","Vatra Dornei","26"
"Chiliseni","Suceava","Suceava","24"
"Chiril","Suceava","Vatra Dornei","26"
"Ciocanesti","Suceava","Vatra Dornei","22"
"Ciomartan","Suceava","Suceava","33"
"Ciprian Porumbescu","Suceava","Suceava","25"
"Ciumarna","Suceava","Campulung Moldovenesc","30"
"Ciumulesti","Suceava","Falticeni",""
"Climauti","Suceava","Radauti",""
"Clit","Suceava","Radauti",""
"Codru","Suceava","Suceava","31"
"Cojocareni","Suceava","Suceava","31"
"Cojoci","Suceava","Vatra Dornei","27"
"Colacu","Suceava","Campulung Moldovenesc",""
"Comanesti","Suceava","Suceava","31"
"Corlata","Suceava","Gura Humorului",""
"Corni","Suceava","Suceava","36"
"Cornu Luncii","Suceava","Falticeni",""
"Corocaiesti","Suceava","Suceava","20"
"Corpaci","Suceava","Suceava","34"
"Cosna","Suceava","Vatra Dornei",""
"Costana","Suceava","Suceava",""
"Costileva","Suceava","Radauti","63"
"Costisa","Suceava","Radauti",""
"Cotargasi","Suceava","Vatra Dornei","59"
"Cotu Baii","Suceava","Falticeni",""
"Cotu Dobei","Suceava","Suceava","23"
"Coverca","Suceava","Vatra Dornei",""
"Cozanesti","Suceava","Vatra Dornei",""
"Crucea","Suceava","Vatra Dornei","25"
"Cumparatura","Suceava","Suceava",""
"Cununschi","Suceava","Radauti","64"
"Danila","Suceava","Suceava",""
"Darmanesti","Suceava","Suceava",""
"Darmoxa","Suceava","Vatra Dornei","34"
"Dealu","Suceava","Suceava","25"
"Dealu Floreni","Suceava","Vatra Dornei",""
"Deia","Suceava","Campulung Moldovenesc","22"
"Deleni","Suceava","Suceava","36"
"Delnita","Suceava","Campulung Moldovenesc","24"
"Delut","Suceava","Campulung Moldovenesc","27"
"Demacusa","Suceava","Campulung Moldovenesc","35"
"Dolhasca","Suceava","Falticeni","25"
"Dolhesti","Suceava","Falticeni",""
"Dolhestii Mari","Suceava","Falticeni",""
"Dolhestii Mici","Suceava","Falticeni","22"
"Dorna Candrenilor","Suceava","Vatra Dornei",""
"Dorna-Arini","Suceava","Vatra Dornei",""
"Dornesti","Suceava","Radauti",""
"Dornisoara","Suceava","Vatra Dornei","34"
"Doroteia","Suceava","Gura Humorului",""
"Dragoiasa","Suceava","Vatra Dornei","27"
"Dragoiesti","Suceava","Gura Humorului","21"
"Dragomirna","Suceava","Suceava",""
"Dragosa","Suceava","Campulung Moldovenesc","27"
"Draguseni","Suceava","Falticeni","26"
"Dubiusca","Suceava","Campulung Moldovenesc","48"
"Dumbrava (Cornu Luncii)","Suceava","Falticeni",""
"Dumbrava (Granicesti)","Suceava","Suceava","26"
"Dumbraveni","Suceava","Suceava",""
"Dumbraveni (Rasca)","Suceava","Falticeni","20"
"Dumbravita","Suceava","Falticeni",""
"EHRESTE","Suceava","Radauti","59"
"Falcau","Suceava","Radauti","39"
"Falticeni","Suceava","Falticeni",""
"Fantana Mare","Suceava","Falticeni",""
"Fantanele","Suceava","Suceava","25"
"Fetesti","Suceava","Suceava",""
"Florinta","Suceava","Suceava",""
"Forasti","Suceava","Falticeni","26"
"Frasin","Suceava","Gura Humorului",""
"Frasin (Brosteni)","Suceava","Vatra Dornei","59"
"Fratautii Noi","Suceava","Radauti",""
"Fratautii Vechi","Suceava","Radauti",""
"Frumoasa","Suceava","Suceava",""
"Frumosu","Suceava","Campulung Moldovenesc","20"
"Fundu Moldovei","Suceava","Campulung Moldovenesc",""
"Gainesti","Suceava","Falticeni","35"
"Galanesti","Suceava","Radauti",""
"Gara","Suceava","Radauti",""
"Gara Leu","Suceava","Suceava",""
"Gemenea","Suceava","Gura Humorului","18"
"Gheorghiteni","Suceava","Vatra Dornei",""
"Giulesti","Suceava","Falticeni",""
"Giurgesti","Suceava","Falticeni",""
